,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
112724905,0.02,0.05,0.01,0.0,0.02,0.5,0.0,0.04,0.0,0.02,0.21,0.03,0.0,0.01,0.09,5
112840553,0.11,0.37,0.03,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.28,0.0,1
113129249,0.04,0.02,0.3,0.0,0.01,0.14,0.0,0.14,0.26,0.0,0.0,0.0,0.0,0.05,0.03,2
113158401,0.23,0.0,0.02,0.0,0.01,0.02,0.0,0.57,0.0,0.13,0.01,0.01,0.0,0.0,0.0,7
113313534,0.0,0.03,0.02,0.0,0.0,0.21,0.14,0.03,0.0,0.08,0.29,0.14,0.0,0.0,0.05,10
113344389,0.13,0.01,0.0,0.0,0.01,0.16,0.0,0.23,0.02,0.04,0.2,0.02,0.01,0.15,0.02,7
113459952,0.24,0.0,0.0,0.0,0.0,0.1,0.01,0.29,0.03,0.01,0.0,0.1,0.12,0.09,0.0,7
113533002,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.33,0.0,0.35,0.0,0.12,0.0,0.11,0.0,9
113579187,0.01,0.08,0.0,0.0,0.0,0.39,0.0,0.22,0.0,0.02,0.06,0.11,0.0,0.06,0.04,5
113632924,0.03,0.0,0.04,0.0,0.0,0.07,0.0,0.29,0.54,0.0,0.0,0.0,0.02,0.0,0.01,8
113644283,0.01,0.05,0.02,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.27,0.28,0.0,0.07,0.0,11
113662240,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.31,0.53,0.0,0.0,0.0,0.0,0.08,0.0,8
113692512,0.24,0.01,0.0,0.0,0.0,0.08,0.0,0.26,0.14,0.01,0.01,0.0,0.0,0.04,0.2,7
113731839,0.07,0.01,0.0,0.0,0.0,0.1,0.19,0.35,0.0,0.07,0.02,0.14,0.0,0.05,0.0,7
113769438,0.0,0.01,0.0,0.0,0.0,0.2,0.0,0.12,0.42,0.01,0.0,0.0,0.0,0.11,0.13,8
116000821,0.0,0.05,0.0,0.0,0.0,0.0,0.58,0.29,0.0,0.04,0.03,0.02,0.0,0.0,0.0,6
116107128,0.0,0.08,0.0,0.0,0.02,0.41,0.0,0.07,0.0,0.01,0.04,0.24,0.01,0.1,0.0,5
131084135,0.01,0.0,0.0,0.0,0.01,0.19,0.0,0.1,0.07,0.02,0.53,0.03,0.0,0.03,0.0,10
131548339,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.46,0.0,0.0,0.12,0.05,0.08,0.15,0.05,7
131610451,0.19,0.06,0.0,0.0,0.0,0.19,0.0,0.47,0.0,0.06,0.0,0.0,0.02,0.0,0.01,7
131614906,0.0,0.0,0.0,0.0,0.09,0.25,0.0,0.26,0.04,0.35,0.01,0.0,0.0,0.0,0.0,9
131617086,0.44,0.0,0.02,0.0,0.0,0.06,0.03,0.28,0.07,0.0,0.0,0.03,0.01,0.02,0.04,0
131623848,0.01,0.0,0.0,0.0,0.0,0.44,0.0,0.06,0.18,0.0,0.01,0.0,0.0,0.02,0.27,5
131623921,0.02,0.0,0.0,0.0,0.0,0.27,0.0,0.32,0.2,0.01,0.01,0.0,0.0,0.0,0.16,7
131623922,0.0,0.0,0.04,0.0,0.0,0.49,0.0,0.15,0.0,0.0,0.01,0.19,0.06,0.0,0.06,5
131624102,0.0,0.41,0.0,0.0,0.03,0.24,0.0,0.03,0.0,0.0,0.12,0.11,0.0,0.05,0.01,1
